,IQR Method,Z-Score Method,Isolation Forest,One-Class SVM,Local Outlier Factor
IQR Method,100.0,98.31932773109243,91.59663865546219,91.59663865546219,91.59663865546219
Z-Score Method,98.31932773109243,100.0,93.27731092436974,91.59663865546219,93.27731092436974
Isolation Forest,91.59663865546219,93.27731092436974,100.0,86.5546218487395,91.59663865546219
One-Class SVM,91.59663865546219,91.59663865546219,86.5546218487395,100.0,88.23529411764706
Local Outlier Factor,91.59663865546219,93.27731092436974,91.59663865546219,88.23529411764706,100.0
