,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,7627.541674409973,7676.168102888223,7571.593915262432,7626.298127215578,2971866058.83912,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,2091.7900390625,2110.659912109375,2061.139892578125,2099.659912109375,221430000.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,3781.590087890625,3795.719970703125,3762.669921875,3774.179931640625,1825450000.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,6233.9501953125,6257.68017578125,6200.4501953125,6229.6201171875,2145390000.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,11434.740234375,11548.76953125,11337.830078125,11443.76953125,4309420000.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,20173.890625,20204.580078125,20004.73046875,20114.98046875,11932600000.0,316.449,14.8,21750.0,29825.182
std,,4620.873016444316,4653.739248343439,4584.1153131207875,4620.972984020467,1611585400.75952,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
