,Outlier_Mean,Inlier_Mean,Difference_Pct
Open,4076.6766560872397,2589.172711238683,57.450935520516964
High,4113.49169921875,2602.927574656834,58.0332752731726
Low,4056.58420308431,2571.741021557389,57.736885988144046
Close,4092.477498372396,2586.4068112952687,58.2302320153143
Volume,4256142500.0,4085968785.046729,4.164831497882447
CPI,284.2045833333333,251.476831775701,13.014221360488218
Unemployment,6.891666666666667,5.7869158878504665,19.090493109388472
M2_Money_Supply,18243.8,14368.867289719627,26.967558626230325
GDP,24815.834583333333,20175.93691588785,22.99718564143469
