,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,67.30853342384361,67.96089001742084,66.5859300925428,67.25194186608154,229969567.58547574,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,5.765363693237305,5.883942326910442,5.711327644529887,5.77497006840278,23234700.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,17.418304443359375,17.596198136166528,17.273565223617446,17.41887112627166,84923800.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,35.19820022583008,35.613687674210674,34.87654763448791,35.250558147947736,140560800.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,126.57774353027344,127.662758113204,124.3332814122006,125.8822038307644,308151200.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,258.1037292480469,259.1799258751944,256.7186620602343,257.27667867815336,1880998000.0,316.449,14.8,21750.0,29825.182
std,,65.38389210247708,65.99119493615427,64.68640483646158,65.30361699159471,218079204.1284089,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
