,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,21.489653229808226,21.636496276369993,21.332513138082973,21.488231310110518,64154438.3090379,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,7.068157196044922,7.337595406234361,6.86137406907412,6.974164150633068,9107923.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,13.330516815185549,13.414039702945573,13.23957132745056,13.323448879870153,39319248.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,20.312570571899418,20.457414480889813,20.125121048606527,20.329612289509665,53462100.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,29.83038330078125,30.212085317171308,29.547842767431867,29.79801831104204,76830034.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,50.596439361572266,50.872380060479536,50.5077426874505,50.694989550841456,468533372.0,316.449,14.8,21750.0,29825.182
std,,10.133314632340902,10.197308972785446,10.069564183137693,10.13351470476269,39154888.943331644,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
