Cluster,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
-1,3327.382286658654,3346.3599759615386,3304.5077139047476,3321.443885216346,4531228461.538462,262.2057692307692,8.438461538461539,17486.83846153846,21742.257999999998
0,1960.0951361405223,1970.629070081209,1948.4661704615544,1959.4691997327302,3938208552.631579,237.2482631578947,6.2065789473684205,11789.942105263157,18057.841092105264
1,4457.946663411459,4486.8220621744795,4427.109016927084,4458.560970052084,4335418333.333333,295.9644333333333,4.016666666666667,21100.996666666666,26718.9996
