,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,129.05170434607518,130.2390763999826,127.74269819299671,129.01943598266215,36169537.927378744,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,17.38705825805664,17.62131473969828,17.17549233312558,17.44751995510262,7164500.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,28.67233085632324,28.877143725448946,28.47839108514198,28.664147725014693,22622100.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,64.63224029541016,65.00615906670508,64.05767555827528,64.5866454205225,30228700.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,227.3881072998047,230.4509617716894,224.7287038582741,227.96624975182988,44208500.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,463.2409362792969,464.02364716117125,460.1696102030399,462.6861243174569,319317900.0,316.449,14.8,21750.0,29825.182
std,,124.48099676184465,125.59255475804709,123.25776099774026,124.46787121867281,20849852.789070413,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
