,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,76.26897783377997,76.82120298666484,75.63521655001918,76.24521106545018,9954397.190564537,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,16.511035919189453,16.665647748102085,16.2831758804735,16.608676333554442,1631500.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,27.75773429870605,27.86075926696776,27.58601429949705,27.74364224209774,6249300.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,51.72499847412109,51.96097899911757,51.53284331884412,51.83479524971808,8347300.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,124.4255828857422,125.63289966313646,123.2756218917771,124.08504800867108,11808700.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,239.9160919189453,240.4386122547119,238.55474097397612,239.27019252390085,68269500.0,316.449,14.8,21750.0,29825.182
std,,59.18285611953318,59.65827350491454,58.644322632809335,59.172317863514664,6008474.494002363,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
