Component,Variance_Explained,Open,High,Close,Low,GDP,Volume,Unemployment,M2_Money_Supply,CPI
PC1,0.8101325026976683,0.3680987121784199,0.36807777711055206,0.368035953261179,0.3679947940696386,0.3669427409318162,,,,
PC2,0.1261873642765329,,0.025711435208896093,0.0227542341209318,,,0.8840173149104367,0.4532088276021327,0.10374772787380677,
PC3,0.04937835937803563,0.10541112501844244,,,0.10768317802871744,,-0.45993213284241363,0.8511415659963416,0.10550852884495346,
PC4,0.008585305562821418,-0.25108050702851337,,-0.2528735372001571,-0.2572224568304581,0.45575367187405813,,,,0.7209172928897106
PC5,0.0054201591606092454,-0.1840368567139887,-0.19421469368884187,-0.19878571927272262,-0.1974862201542043,,,,0.9132233390240514,
