,Outlier_Mean,Inlier_Mean,Difference_Pct
Open,1908.7274780273438,2768.0581744650135,-31.04453166356425
High,1939.3775024414062,2783.6316597316577,-30.329233910625863
Low,1896.5375213623047,2750.1665187669837,-31.039174958300237
Close,1931.7275390625,2766.3334663722826,-30.170112802932213
Volume,4585000000.0,4086368434.7826085,12.202315409768437
CPI,238.12125,255.35644347826087,-6.749464882693725
Unemployment,11.600000000000001,5.700000000000001,103.50877192982455
M2_Money_Supply,13116.5,14816.768695652176,-11.475300253226612
GDP,17602.40925,20749.61415652174,-15.16753459983039
