,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,2727.4391116807797,2741.3797936458473,2711.377889827806,2726.8909275066053,3938928014.8423004,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,1022.5800170898438,1032.949951171875,1010.9099731445312,1027.6500244140625,0.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,1701.8399658203125,1707.6300048828125,1693.2900390625,1699.8599853515625,3374490000.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,2431.77001953125,2441.39990234375,2419.969970703125,2431.919921875,3784360000.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,3818.800048828125,3843.669921875,3789.5400390625,3816.219970703125,4301060000.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,6090.27001953125,6099.97021484375,6079.97998046875,6089.02978515625,10617810000.0,316.449,14.8,21750.0,29825.182
std,,1264.1156214342257,1270.4079557271455,1257.3095111000646,1264.0402111616822,951402984.4944462,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
