Method,Silhouette Score,Calinski-Harabasz Score,N Clusters,N Noise Points
K-Means,0.5574782178822631,196.27942222617995,2,0
Hierarchical,0.5427886489258567,176.54360449372527,2,0
DBSCAN,0.6243108860572681,241.17768745884254,2,13
