,Date,Open,High,Low,Close,Volume,CPI,Unemployment,M2_Money_Supply,GDP
count,3773,3773.0,3773.0,3773.0,3773.0,3773.0,119.0,119.0,119.0,119.0
mean,2017-07-01 04:17:14.296315648,51.85896272050143,52.32306169886854,51.37030395018623,51.866458195435804,19190599.390405513,254.77710924369748,5.898319327731092,14759.616806722688,20643.82575630252
min,2010-01-04 00:00:00,18.77001953125,20.124147978819696,17.909009145982758,19.043972626394797,3104500.0,217.199,3.5,8523.7,14764.61
25%,2013-10-02 00:00:00,43.1878776550293,43.62435301972427,42.78940129374123,43.19402223242472,11813900.0,233.19650000000001,3.9,10760.55,16953.838
50%,2017-06-30 00:00:00,47.81096649169922,48.20308854243286,47.43069040392184,47.84276865478275,16499100.0,245.183,5.0,13674.6,19692.595
75%,2021-03-31 00:00:00,55.58620071411133,55.83898755937984,55.17266978992557,55.57498278320147,23518500.0,271.3375,7.7,20550.550000000003,23704.144500000002
max,2024-12-30 00:00:00,94.13858795166016,94.7676640072213,93.78050407088394,94.11923805671675,99356700.0,316.449,14.8,21750.0,29825.182
std,,15.363122851575586,15.471982126149623,15.256525883839155,15.367949403555665,10630630.73844945,29.078029144504313,2.37565274502867,4586.87072274473,4395.81174050005
