Price,Close,High,Low,Open,Volume,Symbol
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2010-01-04,23.1733455657959,23.28565551439861,22.903800546670613,22.926263107630543,38409100,MSFT
2010-01-05,23.180835723876953,23.285659598644006,22.941240744007228,23.098475842108442,49749600,MSFT
2010-01-06,23.038572311401367,23.270679721422784,22.851388593748965,23.12093217606149,58182400,MSFT
2010-01-07,22.798973083496094,22.986156765862734,22.60430188246301,22.933744135197617,50559700,MSFT
2010-01-08,22.95621681213379,23.12093801112338,22.64174802999091,22.671698117861087,51197400,MSFT
2010-01-11,22.664209365844727,23.031089353750037,22.551899398624524,22.99365174594416,68754700,MSFT
2010-01-12,22.51445770263672,22.761540156895343,22.3946602356082,22.57435643615098,65912100,MSFT
2010-01-13,22.724102020263672,22.85138699649434,22.46953206780233,22.65671577237106,51863500,MSFT
2010-01-14,23.180835723876953,23.285659598644006,22.65672206243661,22.69415824250423,63228100,MSFT
2010-01-15,23.105955123901367,23.390473704009498,22.993643767552523,23.270676256795735,79913200,MSFT
2010-01-19,23.285659790039062,23.390482237568968,22.97119101935061,23.023602243115562,46575700,MSFT
2010-01-20,22.90380859375,23.165866184627255,22.694162235428397,23.06852981436763,54849500,MSFT
2010-01-21,22.469533920288086,23.001134999603583,22.462046400116233,22.9187751339101,73086700,MSFT
2010-01-22,21.683364868164062,22.611797522906357,21.59351746809137,22.462049951986973,102004600,MSFT
2010-01-25,21.95291519165039,22.20748526643207,21.788193966597138,21.893016434531116,63373000,MSFT
2010-01-26,22.08768081665039,22.34973833229816,21.780699604293982,21.863060905008627,66639900,MSFT
2010-01-27,22.2149658203125,22.327275776164925,21.72828839288629,21.975370867001047,63949500,MSFT
2010-01-28,21.833110809326172,22.3647133611191,21.63095203210498,22.342250798728333,117513700,MSFT
2010-01-29,21.099346160888672,22.402144496343134,20.710003735645294,22.38716945811879,193888500,MSFT
2010-02-01,21.271556854248047,21.323968064956624,20.904676951189618,21.256581814588916,85931100,MSFT
2010-02-02,21.308990478515625,21.338940554254354,21.06939558499866,21.241605664299914,54413700,MSFT
2010-02-03,21.436279296875,21.556078193262728,21.054425759264543,21.159248186993022,61397900,MSFT
2010-02-04,20.84478187561035,21.33894684622235,20.82231931218303,21.249098020611697,77850000,MSFT
2010-02-05,20.979551315307617,21.17422255209223,20.64262005393071,20.964576275224548,80960100,MSFT
2010-02-08,20.75493049621582,21.02447551178306,20.642620549095625,20.97206429833353,52820600,MSFT
2010-02-09,20.97205924987793,21.219141645303345,20.777388055285464,20.942109176203033,59195800,MSFT
2010-02-10,20.95708656311035,21.144270260274357,20.844776630431603,20.987036640143764,48591300,MSFT
2010-02-11,21.054428100585938,21.264072979356097,20.73995935433207,20.912168055635735,65993700,MSFT
2010-02-12,20.912166595458984,21.0095015069347,20.650109087195627,20.82231777647495,81117200,MSFT
2010-02-16,21.325895309448242,21.34094037691455,21.077657435360553,21.160402436872047,51935600,MSFT
2010-02-17,21.50642967224121,21.551563435367306,21.333415717944135,21.46129590911512,45882900,MSFT
2010-02-18,21.79228401184082,21.83741922063786,21.446256019724373,21.506434863343618,42856500,MSFT
2010-02-19,21.6418399810791,21.754675145827214,21.581661130894975,21.65688505231937,44451800,MSFT
2010-02-22,21.611745834350586,21.769716183550596,21.551566995316463,21.69449227606377,36707100,MSFT
2010-02-23,21.31085205078125,21.686970160703105,21.130315530191965,21.574135014681893,52266200,MSFT
2010-02-24,21.53652000427246,21.656879106372806,21.348460969731995,21.453775004722726,43165900,MSFT
2010-02-25,21.513954162597656,21.55156539616192,21.07765725327989,21.265716290654385,48735300,MSFT
2010-02-26,21.56661033630371,21.702013071979028,21.446252667876,21.5515652690561,40370600,MSFT
2010-03-01,21.829896926879883,21.852463096750768,21.461301326294958,21.641837859146136,43805400,MSFT
2010-03-02,21.408639907836914,22.040518381757654,21.243148473153514,21.87502694707425,93123900,MSFT
2010-03-03,21.408639907836914,21.52147647693293,21.3258949078835,21.446252575794446,48442100,MSFT
2010-03-04,21.53652000427246,21.551565071382075,21.26571597018226,21.408639803393882,42890600,MSFT
2010-03-05,21.50642967224121,21.574131034318583,21.378549481070227,21.559085968351063,56001800,MSFT
2010-03-08,21.53652000427246,21.762191706586965,21.43872993761311,21.453775004722726,39414500,MSFT
2010-03-09,21.664398193359375,21.897592407573885,21.47633917628238,21.483861709138633,50271600,MSFT
2010-03-10,21.79228401184082,21.8975980642571,21.664403789802826,21.709538998599864,44891400,MSFT
2010-03-11,21.950246810913086,21.957769343120976,21.70200898715797,21.73209768121322,35349700,MSFT
2010-03-12,22.017946243286133,22.100691220794573,21.844932321942082,22.05555746626486,31700200,MSFT
2010-03-15,22.033000946044922,22.09317979000544,21.82237427479469,21.9502544975579,37512000,MSFT
2010-03-16,22.09317398071289,22.183441505529856,21.965293791575153,22.13078521025722,36723500,MSFT
2010-03-17,22.288755416870117,22.469293346755308,22.115741455071376,22.19096535339412,50385700,MSFT
2010-03-18,22.273712158203125,22.35645715644559,22.190965725184114,22.2887557902985,43845200,MSFT
2010-03-19,22.2586669921875,22.49185978855739,22.078130494858243,22.386547190476126,81332100,MSFT
2010-03-22,22.266189575195312,22.341413474610892,22.10821924294494,22.190965675779733,37718200,MSFT
2010-03-23,22.47681427001953,22.491859336522065,22.12326381586903,22.25866654483882,42026600,MSFT
2010-03-24,22.303796768188477,22.45424453977281,22.266185542680535,22.356453057810107,33987700,MSFT
2010-03-25,22.574607849121094,22.995859706600253,22.416637505831005,22.43920510766577,73168700,MSFT
2010-03-26,22.31132698059082,22.717535242833957,22.25867067284303,22.6347887965007,55595500,MSFT
2010-03-29,22.2586669921875,22.431680956114306,22.22857685857769,22.34893452346386,33336000,MSFT
2010-03-30,22.394067764282227,22.46176912420355,22.190963684518263,22.28875374063994,34954800,MSFT
2010-03-31,22.033000946044922,22.35646133559721,21.942731962715733,22.29628249163669,63760000,MSFT
2010-04-01,21.935205459594727,22.22105599277684,21.528998695041928,22.078130726185783,74768100,MSFT
2010-04-05,22.017946243286133,22.13830387854949,21.837409790391096,21.912632236348554,34331200,MSFT
2010-04-06,22.055566787719727,22.25114838637636,21.799806345997727,21.92768656685873,47366800,MSFT
2010-04-07,22.0781307220459,22.236099620793322,21.920160388521918,21.93520545548164,58318800,MSFT
2010-04-08,22.506908416748047,22.552042189527977,22.040521315432855,22.05556638461842,63713800,MSFT
2010-04-09,22.822843551635742,22.875499849447234,22.491859263536565,22.52947192967085,54752500,MSFT
2010-04-12,22.807798385620117,22.935678580365444,22.725051955262405,22.755142088038482,37068800,MSFT
2010-04-13,22.905590057373047,22.943201288854006,22.66487329765477,22.679918364157757,41374600,MSFT
2010-04-14,23.183917999267578,23.319320736333125,23.063560329604115,23.161351832941055,68941200,MSFT
2010-04-15,23.221534729003906,23.281713574360356,23.10117560351415,23.18392205392059,52745400,MSFT
2010-04-16,23.07109260559082,23.304285509687634,23.01843628222482,23.161361613344827,88703100,MSFT
2010-04-19,23.349403381347656,23.507372234068047,23.138776809611,23.146299340899034,64970300,MSFT
