Price,Close,High,Low,Open,Volume,Symbol
Ticker,XLF,XLF,XLF,XLF,XLF,
Date,,,,,,
2010-06-17,9.09571647644043,9.144949283417661,8.997250862485968,9.132640539819876,88713985,Financials
2010-06-18,9.145668983459473,9.16417054345613,9.077831860777927,9.139502038123862,82191162,Financials
2010-06-21,9.133336067199707,9.281344954747029,9.084000495340561,9.250509498345101,105541262,Financials
2010-06-22,8.991496086120605,9.182672885940967,8.979161468463484,9.139504258106047,102404305,Financials
2010-06-23,8.948326110839844,9.040831030888159,8.892823593204826,8.997662406060922,147406957,Financials
2010-06-24,8.787982940673828,8.972992742040535,8.750980546006605,8.89282173158299,180425454,Financials
2010-06-25,9.028494834899902,9.046996393381754,8.775647924872088,8.898987545475764,174342222,Financials
2010-06-28,8.942158699035645,9.059331398601197,8.917490914703931,9.034664338259397,97958795,Financials
2010-06-29,8.621475219726562,8.83115357342341,8.553638084001406,8.81881968038065,190216582,Financials
2010-06-30,8.516636848449707,8.707813648549612,8.47963444340424,8.60914177507837,152587990,Financials
2010-07-01,8.436463356018066,8.57213760662469,8.232952704097984,8.504301205311231,164533121,Financials
2010-07-02,8.337790489196777,8.510466392254418,8.26995337214061,8.498132502605982,82338882,Financials
2010-07-06,8.387125015258789,8.565967825685473,8.294619414289498,8.522799220956777,131649787,Financials
2010-07-07,8.757148742675781,8.775649580658598,8.430296985029813,8.442631601008262,135275082,Financials
2010-07-08,8.82498550415039,8.874321798082116,8.689311962820526,8.861987905596669,99375306,Financials
2010-07-09,8.948326110839844,8.966826950051516,8.78798478034873,8.79415100276267,99814035,Financials
2010-07-12,8.960659980773926,8.979160094453679,8.849653506776287,8.935991473224512,67070912,Financials
2010-07-13,9.182671546936035,9.232007838400364,9.071665072138769,9.077832742062968,103837681,Financials
2010-07-14,9.114835739135742,9.145670470828478,9.0161631497391,9.13950352448993,95201847,Financials
2010-07-15,9.096336364746094,9.145672671314934,8.898991862460855,9.127171827847913,118284082,Financials
2010-07-16,8.713979721069336,9.003829089548258,8.689311936174084,8.98532825087682,174393677,Financials
2010-07-19,8.707812309265137,8.763315546301792,8.565971105721403,8.726313870937283,87813508,Financials
2010-07-20,8.800317764282227,8.812651656830889,8.535136902516204,8.547470795064864,113625609,Financials
2010-07-21,8.65847396850586,8.960657865733104,8.633806190768826,8.960657865733104,126180578,Financials
2010-07-22,8.911327362060547,8.948329052648386,8.769486100160119,8.769486100160119,103468874,Financials
2010-07-23,8.979157447814941,9.003825948093228,8.812648509887477,8.89282023080481,85939803,Financials
2010-07-26,9.102500915527344,9.121001754122377,8.942158866390537,8.991495159967219,97582109,Financials
2010-07-27,9.127169609069824,9.262843152169735,9.108668046110342,9.219674527907472,114958905,Financials
2010-07-28,9.046998977661133,9.158004740312265,9.016163520709727,9.102501496991712,60830850,Financials
2010-07-29,9.07783317565918,9.170338093082067,8.966826695559767,9.127169469480021,86025234,Financials
2010-07-30,9.071664810180664,9.13333499173278,8.960659786568629,8.960659786568629,72789892,Financials
2010-08-02,9.299844741821289,9.306011687605828,9.164171210571528,9.20117216128889,120011913,Financials
2010-08-03,9.195003509521484,9.275173783533827,9.182668897222205,9.250506006914645,81845251,Financials
2010-08-04,9.232006072998047,9.262840796773158,9.176503570202847,9.232006072998047,82030516,Financials
2010-08-05,9.195003509521484,9.213503617996183,9.139500288138636,9.164168788747505,50578959,Financials
2010-08-06,9.114835739135742,9.151837417167025,8.991495364384912,9.102501122468704,101926554,Financials
2010-08-09,9.16417121887207,9.188839002032573,9.071664860050545,9.158003549092065,49583449,Financials
2010-08-10,9.084000587463379,9.158004669992552,9.022331122014043,9.077833640918445,81174971,Financials
2010-08-11,8.763317108154297,8.948326965930224,8.750983214167904,8.94216001893703,117411918,Financials
2010-08-12,8.701643943786621,8.75714717176849,8.63997377091674,8.670808495356793,88825636,Financials
2010-08-13,8.67697811126709,8.78181692187789,8.67697811126709,8.6954782260926,64041298,Financials
2010-08-16,8.65230941772461,8.689311818556556,8.609140794742245,8.65230941772461,68304497,Financials
2010-08-17,8.720148086547852,8.80648607172317,8.67081178473765,8.74481587545793,79810039,Financials
2010-08-18,8.757148742675781,8.818818926608412,8.683143942764703,8.71397939672597,68372325,Financials
2010-08-19,8.55363941192627,8.73865000825989,8.53513856948993,8.701647599397136,124471211,Financials
2010-08-20,8.528969764709473,8.54747132867744,8.448798734148218,8.522803542040124,81137426,Financials
2010-08-23,8.47346305847168,8.58446949147697,8.46729611485912,8.57213488026223,66239371,Financials
2010-08-24,8.331622123718262,8.411793116752625,8.306953624637936,8.368623786354286,116123431,Financials
2010-08-25,8.356290817260742,8.387126263502907,8.195948813568599,8.26995287096418,90747843,Financials
2010-08-26,8.288453102111816,8.454962762146286,8.263785326102118,8.399458818145128,88256545,Financials
2010-08-27,8.467302322387695,8.47346927052135,8.232956121338292,8.325461067333292,107590139,Financials
2010-08-30,8.288453102111816,8.448795094154192,8.282286158109393,8.43029426214692,78521797,Financials
2010-08-31,8.362462043762207,8.393296779134216,8.220620813070907,8.282290283814923,131233463,Financials
2010-09-01,8.683144569396973,8.695478462275611,8.461132325611597,8.467299996040872,163002496,Financials
2010-09-02,8.769482612609863,8.769482612609863,8.670810028969846,8.676977698938511,82205072,Financials
2010-09-03,8.95449161529541,8.95449161529541,8.84965281932158,8.886654491786521,108976122,Financials
2010-09-07,8.750982284545898,8.8743219352974,8.738648391869742,8.868154988959322,69632992,Financials
2010-09-08,8.837319374084473,8.898989560344274,8.7756499118146,8.781816858041587,63465559,Financials
2010-09-09,8.948326110839844,9.022330915666437,8.892823593204826,8.972994620445359,100214233,Financials
2010-09-10,8.960659980773926,8.991494710223332,8.923657581444749,8.954492310894155,48934712,Financials
2010-09-13,9.151832580566406,9.176501076873622,9.096329368862119,9.096329368862119,93892679,Financials
2010-09-14,9.071664810180664,9.13950266147888,9.022329968120745,9.121001100220333,81324661,Financials
2010-09-15,9.102500915527344,9.11483553191396,8.972994321372186,9.003829052363908,91766372,Financials
2010-09-16,9.07783317565918,9.084000121888042,9.016162989380609,9.071665505440384,65492647,Financials
2010-09-17,9.030240058898926,9.129133622399602,9.01787845416342,9.110591215296342,80925078,Financials
2010-09-20,9.203303337097168,9.228027270467289,9.030239431589177,9.042601761082521,64263001,Financials
2010-09-21,9.116771697998047,9.25275079655396,9.085867687242882,9.228027587949828,103705472,Financials
2010-09-22,8.96843147277832,9.14149539345742,8.949888339721062,9.054964158734503,114854147,Financials
2010-09-23,8.795365333557129,8.956067608740288,8.776822930793639,8.881897272069873,127349658,Financials
